edit_history_tweet_ids,id,created_at,author_id,text
['1875381195351191587'],1875381195351191587,2025-01-04T03:18:14.000Z,1389369926259990534,@EnmanuelRM_ @SuperdeBancosRD Pero realmente el papá de las pyme es @BancoBHD
['1875373933522018433'],1875373933522018433,2025-01-04T02:49:23.000Z,1459999153422053381,"@Sinfiltros_tv Hasta el dueño de pyme más pequeña sabe perfectamente cuáles son las causales de despido y su alcance.
La única explicación posible es que en Mega querían hacerle un buen regalo a A-S"
['1875367464063901881'],1875367464063901881,2025-01-04T02:23:40.000Z,3090258327,"@gus_bs Sacando la casta/Rigi Massa,Vila Manzano , los Menem más todos los q sabemos etc, etc.
Ahora fuera de eso pyme, el campo y todas las economías regionales estan cuasi subsisten. 
Se termino el negocio del trabajo y emprender.
Veo un descalzado producción , precios e impuestos."
['1875366269022785894'],1875366269022785894,2025-01-04T02:18:55.000Z,366373550,@KichaChilena De seguro nos enteramos pronto que algún UDI o patriota del PR tiene alguna pyme de venta de computadores usados. Si ya todas las semanas sabemos de algún caso robo descarado de esos sinvergüenzas.
['1875355204725698644'],1875355204725698644,2025-01-04T01:34:57.000Z,1694500396318773248,"@PabloRossiLN José cree que todos los que producimos en argentina somos delincuentes, lamentablemente no es así , no tienen ni idea de lo que hablando , si cree que es tan fácil que intente llevar una pyme, no creo que pueda ."
['1875346956534607918'],1875346956534607918,2025-01-04T01:02:11.000Z,1397715506770161669,"@sanchezdiputado A ti lacra no te da vergüenza tener una pyme de cigarros, también terminarás como tú amigo
Ojeda."
['1875343595773042688'],1875343595773042688,2025-01-04T00:48:50.000Z,1338971175662268417,"@Cybertario Está gente es experta en aumentar el desempleo, en 2018 tuvimos una muestra! Y es con comentarios ignorantes como este es que las empresas que pueden se van a otra parte y el que no puede irse, xq es una Pyme,  reduce su personal o cierra!"
['1875339225018843224'],1875339225018843224,2025-01-04T00:31:28.000Z,1866098595608313856,"Esta medida genera una nueva capa de incertidumbre. Las oymes seguro tendrán que ajustar precios constantemente, y esto complica la relación con proveedores y clientes. La falta de previsibilidad impacta directamente en la planificación y el crecimiento del negocio. #pyme"
['1875338928921760182'],1875338928921760182,2025-01-04T00:30:17.000Z,976836928405430272,"A JUICIO.

Bloqueos: un dirigente cercano a Hugo Moyano y otros cinco sindicalistas irán a juicio por extorsión.

El gremialista Omar Pérez es uno de los acusados de bloquear un depósito de la pyme Andar Transportadora. Otros cuatro miembros de Camioneros fueron acusados de… https://t.co/jiDVVmgO3z https://t.co/B2LmSVWIzj"
['1875335580869091544'],1875335580869091544,2025-01-04T00:16:59.000Z,1685184133910126592,""" todos somos iguales, pero algunos somos más iguales que otros"", parece decir la sanshita del otrora partido PS, hoy reconvertido en pyme ideologica de los sociolistos

Si le abren las grandes alamedas al pueblo, de seguro está izmierda le coloca un peaje. https://t.co/u4UOXxc9WK"
